Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Donovan Clingan,POR,MIN,L,30.011666666666667,3,5,0.6,2,4,0.5,0,0,0.0,2,4,6,1,2,1,1,3,8,9.499999999999996,2025-10-22
Nickeil Alexander-Walker,ATL,TOR,L,28.083333333333332,2,15,0.133,1,5,0.2,5,6,0.833,1,3,4,4,1,1,1,2,10,4.200000000000001,2025-10-22
Miles McBride,NYK,CLE,W,25.866666666666667,4,7,0.571,4,6,0.667,3,4,0.75,1,1,2,1,1,0,2,4,15,10.400000000000002,2025-10-22
Kentavious Caldwell-Pope,MEM,NOP,W,30.711666666666666,2,8,0.25,2,7,0.286,9,9,1.0,0,4,4,3,0,0,3,3,15,9.3,2025-10-22
Dylan Harper,SAS,DAL,W,22.683333333333334,7,14,0.5,1,2,0.5,0,2,0.0,1,3,4,2,0,0,4,5,15,4.200000000000003,2025-10-22
Jalen Duren,DET,CHI,L,19.753333333333334,7,12,0.583,0,0,0.0,1,2,0.5,4,2,6,1,1,2,1,4,15,12.9,2025-10-22
Brice Sensabaugh,UTA,LAC,W,22.69,7,13,0.538,3,7,0.429,3,3,1.0,0,4,4,2,1,0,1,5,20,14.3,2025-10-22
John Collins,LAC,UTA,L,27.85,6,12,0.5,1,2,0.5,1,2,0.5,3,4,7,1,1,2,2,1,14,11.599999999999998,2025-10-22
Jaren Jackson Jr.,MEM,NOP,W,26.62,7,14,0.5,0,4,0.0,4,4,1.0,2,6,8,1,0,6,5,6,18,11.700000000000003,2025-10-22
Stephon Castle,SAS,DAL,W,28.533333333333335,8,12,0.667,1,3,0.333,5,10,0.5,2,5,7,6,2,0,5,2,22,18.099999999999998,2025-10-22
Derrick White,BOS,PHI,L,35.416666666666664,7,20,0.35,4,13,0.308,7,7,1.0,0,3,3,4,1,1,0,1,25,18.8,2025-10-22
Franz Wagner,ORL,MIA,W,35.5,9,17,0.529,2,5,0.4,4,6,0.667,0,4,4,6,2,0,2,5,24,18.3,2025-10-22
Herbert Jones,NOP,MEM,L,36.16833333333334,6,14,0.429,3,5,0.6,2,2,1.0,3,6,9,3,3,1,2,6,17,14.899999999999999,2025-10-22
Jalen Johnson,ATL,TOR,L,34.815,7,13,0.538,0,2,0.0,8,10,0.8,0,7,7,8,1,1,3,1,22,20.900000000000002,2025-10-22
Julius Randle,MIN,POR,W,37.333333333333336,7,13,0.538,3,5,0.6,2,4,0.5,1,6,7,6,2,1,0,3,19,20.099999999999998,2025-10-22
Paolo Banchero,ORL,MIA,W,35.38333333333333,7,17,0.412,1,3,0.333,9,12,0.75,0,11,11,1,1,1,2,1,24,17.000000000000004,2025-10-22
Devin Booker,PHX,SAC,W,36.365,10,19,0.526,1,3,0.333,10,15,0.667,2,3,5,3,1,0,6,5,31,17.1,2025-10-22
Isaiah Stewart,DET,CHI,L,24.89666666666667,8,14,0.571,2,2,1.0,2,2,1.0,5,5,10,2,0,4,0,3,20,21.4,2025-10-22
