player,tm,opp,res,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,game_date,game_id,matchup_id,is_home,won
Jake LaRavia,LAL,GSW,L,15.833333333333334,2,4,0.5,1,2,0.5,0,2,0.0,2,1,3,0,0,0,0,1,5,3.5,2025-10-21,20251021_Jake_LaRavia_LAL_GSW,20251021_GSW_LAL,,0
Jarred Vanderbilt,LAL,GSW,L,11.933333333333334,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,2,0,0,-2.9,2025-10-21,20251021_Jarred_Vanderbilt_LAL_GSW,20251021_GSW_LAL,,0
Jaxson Hayes,LAL,GSW,L,14.116666666666667,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,2,4,4.2,2025-10-21,20251021_Jaxson_Hayes_LAL_GSW,20251021_GSW_LAL,,0
Jaylin Williams,OKC,HOU,W,12.883333333333333,1,5,0.2,0,4,0.0,0,0,0.0,0,0,0,1,1,0,0,1,2,0.1999999999999998,2025-10-21,20251021_Jaylin_Williams_OKC_HOU,20251021_HOU_OKC,,1
Jimmy Butler III,GSW,LAL,W,34.733333333333334,7,14,0.5,1,2,0.5,16,16,1.0,2,3,5,4,1,0,1,4,31,27.5,2025-10-21,20251021_Jimmy_Butler_III_GSW_LAL,20251021_GSW_LAL,,1
Jonathan Kuminga,GSW,LAL,W,32.903333333333336,6,11,0.545,4,6,0.667,1,2,0.5,3,6,9,6,1,0,2,3,17,17.2,2025-10-21,20251021_Jonathan_Kuminga_GSW_LAL,20251021_GSW_LAL,,1
Josh Okogie,HOU,OKC,L,19.96333333333333,1,3,0.333,1,3,0.333,5,6,0.833,1,1,2,1,0,1,0,2,8,7.500000000000001,2025-10-21,20251021_Josh_Okogie_HOU_OKC,20251021_HOU_OKC,,0
Kevin Durant,HOU,OKC,L,47.05,9,16,0.563,0,4,0.0,5,6,0.833,0,9,9,3,0,0,4,6,23,13.400000000000006,2025-10-21,20251021_Kevin_Durant_HOU_OKC,20251021_HOU_OKC,,0
Luguentz Dort,OKC,HOU,W,45.251666666666665,2,12,0.167,0,8,0.0,2,2,1.0,2,4,6,5,1,0,1,4,6,2.900000000000001,2025-10-21,20251021_Luguentz_Dort_OKC_HOU,20251021_HOU_OKC,,1
Luka Dončić,LAL,GSW,L,40.98333333333333,17,27,0.63,2,10,0.2,7,10,0.7,0,12,12,9,2,1,3,1,43,38.9,2025-10-21,20251021_Luka_Dončić_LAL_GSW,20251021_GSW_LAL,,0
Marcus Smart,LAL,GSW,L,22.76833333333333,3,6,0.5,0,3,0.0,3,4,0.75,0,0,0,0,1,0,3,4,9,2.0,2025-10-21,20251021_Marcus_Smart_LAL_GSW,20251021_GSW_LAL,,0
Quinten Post,GSW,LAL,W,8.566666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,0.8999999999999998,2025-10-21,20251021_Quinten_Post_GSW_LAL,20251021_GSW_LAL,,1
Reed Sheppard,HOU,OKC,L,27.775,3,11,0.273,2,7,0.286,1,2,0.5,1,1,2,4,1,1,2,1,9,5.199999999999999,2025-10-21,20251021_Reed_Sheppard_HOU_OKC,20251021_HOU_OKC,,0
Rui Hachimura,LAL,GSW,L,35.415,3,6,0.5,3,6,0.5,0,0,0.0,0,4,4,3,0,0,1,2,9,7.5,2025-10-21,20251021_Rui_Hachimura_LAL_GSW,20251021_GSW_LAL,,0
Shai Gilgeous-Alexander,OKC,HOU,W,47.21666666666667,12,26,0.462,1,9,0.111,10,14,0.714,0,5,5,5,2,2,3,2,35,24.599999999999994,2025-10-21,20251021_Shai_Gilgeous-Alexander_OKC_HOU,20251021_HOU_OKC,,1
Stephen Curry,GSW,LAL,W,32.06666666666667,6,14,0.429,3,9,0.333,8,8,1.0,0,1,1,4,3,1,2,3,23,19.2,2025-10-21,20251021_Stephen_Curry_GSW_LAL,20251021_GSW_LAL,,1
Steven Adams,HOU,OKC,L,36.50666666666667,1,4,0.25,0,0,0.0,2,2,1.0,5,8,13,3,0,0,3,4,4,5.0,2025-10-21,20251021_Steven_Adams_HOU_OKC,20251021_HOU_OKC,,0
Tari Eason,HOU,OKC,L,21.598333333333333,1,6,0.167,1,4,0.25,0,0,0.0,0,6,6,0,0,1,4,1,3,-2.7,2025-10-21,20251021_Tari_Eason_HOU_OKC,20251021_HOU_OKC,,0
Will Richard,GSW,LAL,W,13.583333333333334,2,2,1.0,1,1,1.0,0,0,0.0,1,0,1,1,1,0,0,2,5,6.000000000000001,2025-10-21,20251021_Will_Richard_GSW_LAL,20251021_GSW_LAL,,1
AJ Green,MIL,WAS,W,27.2,4,6,0.667,3,5,0.6,0,0,0.0,0,3,3,1,0,0,0,3,11,8.8,2025-10-22,20251022_AJ_Green_MIL_WAS,20251022_MIL_WAS,,1
AJ Johnson,WAS,MIL,L,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1.0,2025-10-22,20251022_AJ_Johnson_WAS_MIL,20251022_MIL_WAS,,0
Ace Bailey,UTA,LAC,W,20.166666666666668,1,5,0.2,0,2,0.0,0,0,0.0,1,3,4,2,0,0,1,1,2,0.4999999999999995,2025-10-22,20251022_Ace_Bailey_UTA_LAC,20251022_LAC_UTA,,1
